label,precision,recall,f1-score,support
Backend Developer,0.7,0.7368421052631579,0.717948717948718,19.0
Frontend Developer,1.0,0.625,0.7692307692307693,8.0
Full Stack Developer,0.5,0.8333333333333334,0.625,6.0
DevOps Engineer,0.8571428571428571,0.75,0.8,8.0
Data / AI Role,1.0,1.0,1.0,3.0
QA Engineer,0.7,1.0,0.8235294117647058,7.0
Mobile Developer,1.0,0.75,0.8571428571428571,4.0
Project / Program Manager,0.6,1.0,0.75,3.0
Product Manager,0.5,1.0,0.6666666666666666,1.0
Marketing / Sales,0.6363636363636364,0.7,0.6666666666666666,10.0
Business / Operations Role,1.0,0.6666666666666666,0.8,9.0
Design / Creative Role,0.75,0.6666666666666666,0.7058823529411765,9.0
Other,0.4,0.3076923076923077,0.34782608695652173,13.0
accuracy,0.7,0.7,0.7,0.7
macro avg,0.7418081918081919,0.7720154676632409,0.7330687330244678,100.0
weighted avg,0.7267077922077922,0.7,0.6979616274603486,100.0
