label,precision,recall,f1-score,support
Backend Developer,0.5555555555555556,0.5263157894736842,0.5405405405405406,19.0
Frontend Developer,1.0,0.625,0.7692307692307693,8.0
Full Stack Developer,0.35714285714285715,0.8333333333333334,0.5,6.0
DevOps Engineer,0.7777777777777778,0.875,0.8235294117647058,8.0
Data / AI Role,0.75,1.0,0.8571428571428571,3.0
QA Engineer,0.6363636363636364,1.0,0.7777777777777778,7.0
Mobile Developer,1.0,0.75,0.8571428571428571,4.0
Project / Program Manager,0.6,1.0,0.75,3.0
Product Manager,0.5,1.0,0.6666666666666666,1.0
Marketing / Sales,0.6666666666666666,0.6,0.631578947368421,10.0
Business / Operations Role,0.8181818181818182,1.0,0.9,9.0
Design / Creative Role,0.7777777777777778,0.7777777777777778,0.7777777777777778,9.0
Other,0.0,0.0,0.0,13.0
accuracy,0.66,0.66,0.66,0.66
macro avg,0.6491896991896993,0.768263607737292,0.6808759696471058,100.0
weighted avg,0.609554834054834,0.66,0.617892523030294,100.0
