label,precision,recall,f1-score,support
Backend Developer,0.5652173913043478,0.6842105263157895,0.6190476190476191,19.0
Frontend Developer,1.0,0.5,0.6666666666666666,8.0
Full Stack Developer,0.4166666666666667,0.8333333333333334,0.5555555555555556,6.0
DevOps Engineer,0.875,0.875,0.875,8.0
Data / AI Role,1.0,1.0,1.0,3.0
QA Engineer,0.6363636363636364,1.0,0.7777777777777778,7.0
Mobile Developer,1.0,0.75,0.8571428571428571,4.0
Project / Program Manager,0.6,1.0,0.75,3.0
Product Manager,0.5,1.0,0.6666666666666666,1.0
Marketing / Sales,0.6363636363636364,0.7,0.6666666666666666,10.0
Business / Operations Role,0.9,1.0,0.9473684210526315,9.0
Design / Creative Role,0.75,0.6666666666666666,0.7058823529411765,9.0
Other,0.0,0.0,0.0,13.0
accuracy,0.68,0.68,0.68,0.68
macro avg,0.6830470254383297,0.7699392712550607,0.6990595833475091,100.0
weighted avg,0.6320731225296442,0.68,0.637641776008649,100.0
