label,precision,recall,f1-score,support
Backend Developer,0.7083333333333334,0.8947368421052632,0.7906976744186046,19.0
Frontend Developer,1.0,0.875,0.9333333333333333,8.0
Full Stack Developer,0.8571428571428571,1.0,0.9230769230769231,6.0
DevOps Engineer,0.7777777777777778,0.875,0.8235294117647058,8.0
Data / AI Role,0.75,1.0,0.8571428571428571,3.0
QA Engineer,0.7,1.0,0.8235294117647058,7.0
Mobile Developer,0.75,0.75,0.75,4.0
Project / Program Manager,0.75,1.0,0.8571428571428571,3.0
Product Manager,0.5,1.0,0.6666666666666666,1.0
Marketing / Sales,0.7,0.7,0.7,10.0
Business / Operations Role,0.8181818181818182,1.0,0.9,9.0
Design / Creative Role,0.75,0.6666666666666666,0.7058823529411765,9.0
Other,0.0,0.0,0.0,13.0
accuracy,0.76,0.76,0.76,0.76
macro avg,0.6970335220335221,0.827800269905533,0.7485385760193715,100.0
weighted avg,0.6683704906204906,0.76,0.7064379018154667,100.0
