label,precision,recall,f1-score,support
Backend Developer,0.68,0.8947368421052632,0.7727272727272727,19.0
Frontend Developer,1.0,0.875,0.9333333333333333,8.0
Full Stack Developer,1.0,1.0,1.0,6.0
DevOps Engineer,0.875,0.875,0.875,8.0
Data / AI Role,1.0,1.0,1.0,3.0
QA Engineer,0.6363636363636364,1.0,0.7777777777777778,7.0
Mobile Developer,1.0,0.75,0.8571428571428571,4.0
Project / Program Manager,0.75,1.0,0.8571428571428571,3.0
Product Manager,0.5,1.0,0.6666666666666666,1.0
Marketing / Sales,0.7,0.7,0.7,10.0
Business / Operations Role,0.9,1.0,0.9473684210526315,9.0
Design / Creative Role,0.8571428571428571,0.6666666666666666,0.75,9.0
Other,0.5,0.15384615384615385,0.23529411764705882,13.0
accuracy,0.78,0.78,0.78,0.78
macro avg,0.7998851148851149,0.8396345894321602,0.7978810233454195,100.0
weighted avg,0.7743883116883117,0.78,0.7559473527848141,100.0
