label,precision,recall,f1-score,support
Backend Developer,0.6666666666666666,0.9473684210526315,0.782608695652174,19.0
Frontend Developer,1.0,0.875,0.9333333333333333,8.0
Full Stack Developer,1.0,0.8333333333333334,0.9090909090909091,6.0
DevOps Engineer,0.7777777777777778,0.875,0.8235294117647058,8.0
Data / AI Role,1.0,1.0,1.0,3.0
QA Engineer,0.7777777777777778,1.0,0.875,7.0
Mobile Developer,1.0,0.75,0.8571428571428571,4.0
Project / Program Manager,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
Product Manager,0.5,1.0,0.6666666666666666,1.0
Marketing / Sales,0.7142857142857143,0.5,0.5882352941176471,10.0
Business / Operations Role,0.5294117647058824,1.0,0.6923076923076923,9.0
Design / Creative Role,0.8571428571428571,0.6666666666666666,0.75,9.0
Other,0.0,0.0,0.0,13.0
accuracy,0.73,0.73,0.73,0.73
macro avg,0.7299791711556417,0.7780026990553306,0.734198578980204,100.0
weighted avg,0.6745518207282913,0.73,0.6846237289990487,100.0
