label,precision,recall,f1-score,support
Backend Developer,0.7058823529411765,0.631578947368421,0.6666666666666666,19.0
Frontend Developer,0.8333333333333334,0.625,0.7142857142857143,8.0
Full Stack Developer,0.4166666666666667,0.8333333333333334,0.5555555555555556,6.0
DevOps Engineer,0.875,0.875,0.875,8.0
Data / AI Role,0.75,1.0,0.8571428571428571,3.0
QA Engineer,0.6363636363636364,1.0,0.7777777777777778,7.0
Mobile Developer,1.0,0.75,0.8571428571428571,4.0
Project / Program Manager,0.6,1.0,0.75,3.0
Product Manager,0.5,1.0,0.6666666666666666,1.0
Marketing / Sales,0.6363636363636364,0.7,0.6666666666666666,10.0
Business / Operations Role,0.9,1.0,0.9473684210526315,9.0
Design / Creative Role,0.75,0.6666666666666666,0.7058823529411765,9.0
Other,0.6666666666666666,0.15384615384615385,0.25,13.0
accuracy,0.7,0.7,0.7,0.7
macro avg,0.7130981763334705,0.7873403924011211,0.7146273489152747,100.0
weighted avg,0.724632798573975,0.7,0.6787132045800776,100.0
