label,precision,recall,f1-score,support
Backend Developer,0.5862068965517241,0.8947368421052632,0.7083333333333334,19.0
Frontend Developer,1.0,0.875,0.9333333333333333,8.0
Full Stack Developer,1.0,0.3333333333333333,0.5,6.0
DevOps Engineer,0.8571428571428571,0.75,0.8,8.0
Data / AI Role,0.75,1.0,0.8571428571428571,3.0
QA Engineer,0.75,0.8571428571428571,0.8,7.0
Mobile Developer,1.0,0.75,0.8571428571428571,4.0
Project / Program Manager,0.375,1.0,0.5454545454545454,3.0
Product Manager,0.0,0.0,0.0,1.0
Marketing / Sales,0.5714285714285714,0.4,0.47058823529411764,10.0
Business / Operations Role,0.5714285714285714,0.8888888888888888,0.6956521739130435,9.0
Design / Creative Role,0.8571428571428571,0.6666666666666666,0.75,9.0
Other,0.3333333333333333,0.07692307692307693,0.125,13.0
accuracy,0.66,0.66,0.66,0.66
macro avg,0.665514083617532,0.6532839742353912,0.618665179662622,100.0
weighted avg,0.6752483579638752,0.66,0.629031155545222,100.0
