label,precision,recall,f1-score,support
Backend Developer,0.6086956521739131,0.7368421052631579,0.6666666666666666,19.0
Frontend Developer,1.0,0.625,0.7692307692307693,8.0
Full Stack Developer,0.5555555555555556,0.8333333333333334,0.6666666666666666,6.0
DevOps Engineer,0.875,0.875,0.875,8.0
Data / AI Role,0.75,1.0,0.8571428571428571,3.0
QA Engineer,0.6363636363636364,1.0,0.7777777777777778,7.0
Mobile Developer,1.0,0.75,0.8571428571428571,4.0
Project / Program Manager,0.5,1.0,0.6666666666666666,3.0
Product Manager,0.5,1.0,0.6666666666666666,1.0
Marketing / Sales,0.6363636363636364,0.7,0.6666666666666666,10.0
Business / Operations Role,0.8888888888888888,0.8888888888888888,0.8888888888888888,9.0
Design / Creative Role,0.75,0.6666666666666666,0.7058823529411765,9.0
Other,1.0,0.07692307692307693,0.14285714285714285,13.0
accuracy,0.7,0.7,0.7,0.7
macro avg,0.7462205668727407,0.7809733900827017,0.7082504599472924,100.0
weighted avg,0.767167325428195,0.7,0.6680837463190404,100.0
