label,precision,recall,f1-score,support
Backend Developer,0.6428571428571429,0.9473684210526315,0.7659574468085106,19.0
Frontend Developer,1.0,0.875,0.9333333333333333,8.0
Full Stack Developer,1.0,1.0,1.0,6.0
DevOps Engineer,0.875,0.875,0.875,8.0
Data / AI Role,1.0,1.0,1.0,3.0
QA Engineer,0.7,1.0,0.8235294117647058,7.0
Mobile Developer,1.0,0.75,0.8571428571428571,4.0
Project / Program Manager,0.75,1.0,0.8571428571428571,3.0
Product Manager,0.5,1.0,0.6666666666666666,1.0
Marketing / Sales,0.7,0.7,0.7,10.0
Business / Operations Role,0.9,1.0,0.9473684210526315,9.0
Design / Creative Role,0.7777777777777778,0.7777777777777778,0.7777777777777778,9.0
Other,0.0,0.0,0.0,13.0
accuracy,0.78,0.78,0.78,0.78
macro avg,0.7573565323565324,0.8403958614484931,0.7849168285914878,100.0
weighted avg,0.6996428571428572,0.78,0.7297754649452166,100.0
