label,precision,recall,f1-score,support
Backend Developer,0.6818181818181818,0.7894736842105263,0.7317073170731707,19.0
Frontend Developer,1.0,0.875,0.9333333333333333,8.0
Full Stack Developer,0.6666666666666666,1.0,0.8,6.0
DevOps Engineer,0.875,0.875,0.875,8.0
Data / AI Role,0.75,1.0,0.8571428571428571,3.0
QA Engineer,0.6363636363636364,1.0,0.7777777777777778,7.0
Mobile Developer,1.0,0.75,0.8571428571428571,4.0
Project / Program Manager,0.75,1.0,0.8571428571428571,3.0
Product Manager,0.5,1.0,0.6666666666666666,1.0
Marketing / Sales,0.6363636363636364,0.7,0.6666666666666666,10.0
Business / Operations Role,0.875,0.7777777777777778,0.8235294117647058,9.0
Design / Creative Role,0.75,0.6666666666666666,0.7058823529411765,9.0
Other,0.3333333333333333,0.07692307692307693,0.125,13.0
accuracy,0.73,0.73,0.73,0.73
macro avg,0.7272727272727273,0.8085262465829268,0.7443840075116975,100.0
weighted avg,0.7073106060606059,0.73,0.699080179226162,100.0
