label,precision,recall,f1-score,support
Backend Developer,0.7619047619047619,0.8421052631578947,0.8,19.0
Frontend Developer,1.0,0.75,0.8571428571428571,8.0
Full Stack Developer,0.6,1.0,0.75,6.0
DevOps Engineer,0.875,0.875,0.875,8.0
Data / AI Role,0.75,1.0,0.8571428571428571,3.0
QA Engineer,0.6363636363636364,1.0,0.7777777777777778,7.0
Mobile Developer,1.0,0.75,0.8571428571428571,4.0
Project / Program Manager,0.75,1.0,0.8571428571428571,3.0
Product Manager,0.5,1.0,0.6666666666666666,1.0
Marketing / Sales,0.6363636363636364,0.7,0.6666666666666666,10.0
Business / Operations Role,0.9,1.0,0.9473684210526315,9.0
Design / Creative Role,0.8571428571428571,0.6666666666666666,0.75,9.0
Other,1.0,0.23076923076923078,0.375,13.0
accuracy,0.77,0.77,0.77,0.77
macro avg,0.7897519147519148,0.8318877815841377,0.7720808431334748,100.0
weighted avg,0.8170865800865801,0.77,0.7505766499582289,100.0
