label,precision,recall,f1-score,support
Backend Developer,0.7142857142857143,0.7894736842105263,0.75,19.0
Frontend Developer,1.0,0.75,0.8571428571428571,8.0
Full Stack Developer,0.5454545454545454,1.0,0.7058823529411765,6.0
DevOps Engineer,0.7777777777777778,0.875,0.8235294117647058,8.0
Data / AI Role,0.75,1.0,0.8571428571428571,3.0
QA Engineer,0.7,1.0,0.8235294117647058,7.0
Mobile Developer,1.0,0.75,0.8571428571428571,4.0
Project / Program Manager,0.75,1.0,0.8571428571428571,3.0
Product Manager,0.5,1.0,0.6666666666666666,1.0
Marketing / Sales,0.7777777777777778,0.7,0.7368421052631579,10.0
Business / Operations Role,0.8,0.8888888888888888,0.8421052631578947,9.0
Design / Creative Role,0.875,0.7777777777777778,0.8235294117647058,9.0
Other,0.6666666666666666,0.15384615384615385,0.25,13.0
accuracy,0.75,0.75,0.75,0.75
macro avg,0.7582278832278833,0.8219220388248729,0.7577427732226494,100.0
weighted avg,0.7648582251082252,0.75,0.7254260651629072,100.0
