label,precision,recall,f1-score,support
Backend Developer,0.5517241379310345,0.8421052631578947,0.6666666666666666,19.0
Frontend Developer,0.8,0.5,0.6153846153846154,8.0
Full Stack Developer,0.5,0.16666666666666666,0.25,6.0
DevOps Engineer,0.7142857142857143,0.625,0.6666666666666666,8.0
Data / AI Role,0.5,1.0,0.6666666666666666,3.0
QA Engineer,0.7,1.0,0.8235294117647058,7.0
Mobile Developer,1.0,0.75,0.8571428571428571,4.0
Project / Program Manager,0.3333333333333333,1.0,0.5,3.0
Product Manager,0.5,1.0,0.6666666666666666,1.0
Marketing / Sales,0.6363636363636364,0.7,0.6666666666666666,10.0
Business / Operations Role,0.8571428571428571,0.6666666666666666,0.75,9.0
Design / Creative Role,0.5714285714285714,0.4444444444444444,0.5,9.0
Other,0.0,0.0,0.0,13.0
accuracy,0.6,0.6,0.6,0.6
macro avg,0.5895598654219344,0.6688371569950518,0.5868761705865778,100.0
weighted avg,0.5671782355575459,0.6,0.5569968756733462,100.0
