label,precision,recall,f1-score,support
Backend Developer,0.7083333333333334,0.8947368421052632,0.7906976744186046,19.0
Frontend Developer,1.0,0.75,0.8571428571428571,8.0
Full Stack Developer,0.75,1.0,0.8571428571428571,6.0
DevOps Engineer,0.875,0.875,0.875,8.0
Data / AI Role,1.0,1.0,1.0,3.0
QA Engineer,0.6363636363636364,1.0,0.7777777777777778,7.0
Mobile Developer,1.0,0.75,0.8571428571428571,4.0
Project / Program Manager,0.75,1.0,0.8571428571428571,3.0
Product Manager,0.5,1.0,0.6666666666666666,1.0
Marketing / Sales,0.6363636363636364,0.7,0.6666666666666666,10.0
Business / Operations Role,0.9,1.0,0.9473684210526315,9.0
Design / Creative Role,0.75,0.6666666666666666,0.7058823529411765,9.0
Other,0.5,0.07692307692307693,0.13333333333333333,13.0
accuracy,0.76,0.76,0.76,0.76
macro avg,0.7696969696969697,0.824102045053462,0.7686126401098681,100.0
weighted avg,0.7487651515151516,0.76,0.7241362389100887,100.0
